2024-07-25 00:37:32.151 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:37:32.151 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:37:33.515 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:37:33.542 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.639 seconds (process running for 2.084)
2024-07-25 00:37:48.743 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2654 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:37:48.743 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:37:48.743 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:37:50.087 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:37:50.113 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.628 seconds (process running for 2.11)
2024-07-25 00:38:08.166 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2661 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:38:08.167 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:38:08.167 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:38:09.590 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:38:09.615 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.731 seconds (process running for 2.233)
2024-07-25 00:41:36.801 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2679 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:41:36.802 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:41:36.802 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:41:38.238 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:41:38.263 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.705 seconds (process running for 2.203)
2024-07-25 00:41:47.380 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2685 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:41:47.380 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:41:47.381 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:41:48.771 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:41:48.796 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.642 seconds (process running for 2.101)
2024-07-25 00:44:59.696 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2710 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:44:59.697 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:44:59.697 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:45:04.222 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.77 seconds (process running for 5.212)
2024-07-25 00:46:44.409 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2723 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:46:44.409 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:46:44.410 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:46:48.880 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.901 seconds (process running for 5.321)
2024-07-25 00:49:15.436 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2732 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:49:15.436 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:49:15.437 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:49:19.797 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.705 seconds (process running for 5.203)
2024-07-25 00:54:04.644 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2761 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:54:04.644 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:54:04.645 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:54:09.052 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.762 seconds (process running for 5.187)
2024-07-25 01:03:19.610 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2801 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:03:19.610 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:03:19.611 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:03:23.877 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.612 seconds (process running for 5.049)
2024-07-25 01:06:06.324 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2812 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:06:06.325 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:06:06.325 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:06:10.814 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.701 seconds (process running for 5.182)
2024-07-25 01:06:43.485 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2820 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:06:43.485 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:06:43.486 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:06:47.656 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.377 seconds (process running for 4.8)
2024-07-25 01:11:05.417 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2830 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:11:05.417 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
