2024-07-20 20:58:44.932 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 20:58:46.265 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 20:59:27.977 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6239 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 20:59:27.977 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 20:59:27.978 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 20:59:29.352 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:00:03.198 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6245 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:00:03.199 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:00:03.200 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:00:04.770 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:00:39.561 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6251 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:00:39.565 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:00:39.569 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:00:41.025 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
